date,year,week,cases_per_sentinel,fear_index_avg,fear_index_weighted,weekly_deaths,fear_index,dining_index
2022-04-18,2022,16,0.0,3.4,4.533333333333333,18.0,4.533333333333333,26.0
2022-04-25,2022,17,0.0,3.0,4.0,11.0,4.0,27.57894736842105
2022-05-02,2022,18,0.0,3.4,4.466666666666667,9.0,4.466666666666667,20.36842105263158
2022-05-09,2022,19,0.0,2.8,3.733333333333333,20.0,3.733333333333333,19.789473684210527
2022-05-16,2022,20,0.0,3.2,4.2,23.0,4.2,20.105263157894736
2022-05-23,2022,21,0.0,2.4,3.1333333333333333,14.0,3.1333333333333333,21.31578947368421
2022-05-30,2022,22,0.0,2.2,2.933333333333333,10.0,2.933333333333333,24.789473684210527
2022-06-06,2022,23,0.0,2.6,3.4,8.0,3.4,26.63157894736842
2022-06-13,2022,24,0.0,2.0,2.6666666666666665,10.0,2.6666666666666665,25.42105263157895
2022-06-20,2022,25,0.0,2.2,2.933333333333333,6.0,2.933333333333333,23.842105263157894
2022-06-27,2022,26,0.0,4.8,6.266666666666667,2.0,6.266666666666667,24.473684210526315
2022-07-04,2022,27,0.0,8.8,11.466666666666669,5.0,11.466666666666669,24.473684210526315
2022-07-11,2022,28,0.0,15.4,19.8,5.0,19.8,23.210526315789473
2022-07-18,2022,29,0.0,16.0,20.33333333333333,9.0,20.33333333333333,20.36842105263158
2022-07-25,2022,30,0.0,14.4,18.4,24.0,18.4,20.42105263157895
2022-08-01,2022,31,0.0,11.2,14.333333333333334,43.0,14.333333333333334,22.263157894736842
2022-08-08,2022,32,0.0,11.6,14.666666666666666,55.0,14.666666666666666,21.63157894736842
2022-08-15,2022,33,0.01,10.8,13.866666666666667,70.0,13.866666666666667,21.94736842105263
2022-08-22,2022,34,0.0,6.8,8.933333333333334,79.0,8.933333333333334,22.263157894736842
2022-08-29,2022,35,0.04,5.4,7.066666666666666,67.0,7.066666666666666,23.210526315789473
2022-09-05,2022,36,0.03,4.6,5.866666666666666,51.0,5.866666666666666,24.473684210526315
